Block;Block_Row;Block_Column;Sample;Shoots_established;S_axles;S_total;S_substratum;Sp.;Size;Biomass_V;Biomass_NV;Biom_total;per_BiomV;RGR
1;F2;C1;S. ruralis Medium;1;4;278;646;S. ruralis;Medium;3,00E-04;0,0042;0,0045;7,5;0,00025
1;F3;C1;H. cupressiforme Small;2;5;121;632;H. cupressiforme;Small;0;0,0033;0,0033;0;-0,00035
1;F4;C1;P. capillare Small;3;10;180;620;P. capillare;Small;1,00E-04;0,0032;0,0033;2,5;-0,00035
1;F5;C1;T. squarrosa Medium;65;47;263;615;T. squarrosa;Medium;2,00E-04;0,0042;0,0044;5;2,00E-04
1;F1;C2;H. cupressiforme Large;2;8;100;630;H. cupressiforme;Large;1,00E-04;0,0041;0,0042;2,5;1,00E-04
1;F2;C2;P. capillare Medium;10;12;144;650;P. capillare;Medium;2,00E-04;0,0039;0,0041;5;5,00E-05
1;F3;C2;S. ruralis Small;1;2;246;630;S. ruralis;Small;0;0,0039;0,0039;0;-5,00E-05
1;F4;C2;D. scoparium Small;0;0;277;629;D. scoparium;Small;0;0,0037;0,0037;0;-0,00015
1;F5;C2;H. cupressiforme Small;0;0;144;600;H. cupressiforme;Small;0;0,0036;0,0036;0;-2,00E-04
1;F1;C3;H. cupressiforme Medium;4;10;65;641;H. cupressiforme;Medium;4,00E-04;0,004;0,0044;10;2,00E-04
1;F2;C3;D. scoparium Large;0;0;154;628;D. scoparium;Large;0;0,0041;0,0041;0;5,00E-05
1;F3;C3;P. capillare Large;4;6;129;642;P. capillare;Large;1,00E-04;0,0043;0,0044;2,5;2,00E-04
1;F4;C3;S. ruralis Small;0;0;233;629;S. ruralis;Small;0;0,0042;0,0042;0;1,00E-04
1;F5;C3;T. squarrosa Small;59;50;245;628;T. squarrosa;Small;3,00E-04;0,0037;0,004;7,5;0
1;F1;C4;S. ruralis Large;18;47;171;646;S. ruralis;Large;5,00E-04;0,0045;0,005;12,5;5,00E-04
1;F2;C4;D. scoparium Small;0;0;303;641;D. scoparium;Small;0;0,004;0,004;0;0
1;F3;C4;H. cupressiforme Medium;0;0;137;634;H. cupressiforme;Medium;0;0,0037;0,0037;0;-0,00015
1;F4;C4;H. aureum Medium;32;69;176;612;H. aureum;Medium;0,0018;0,003;0,0048;45;4,00E-04
1;F5;C4;S. ruralis Large;13;26;170;605;S. ruralis;Large;3,00E-04;0,0041;0,0044;7,5;2,00E-04
1;F1;C5;P. capillare Large;18;46;194;606;P. capillare;Large;0,0014;0,0032;0,0046;35;3,00E-04
1;F2;C5;D. scoparium Small;0;0;244;649;D. scoparium;Small;0;0,0039;0,0039;0;-5,00E-05
1;F3;C5;T. squarrosa Medium;49;40;285;642;T. squarrosa;Medium;3,00E-04;0,0053;0,0056;7,5;8,00E-04
1;F4;C5;T. squarrosa Small;39;33;241;634;T. squarrosa;Small;1,00E-04;0,0045;0,0046;2,5;3,00E-04
1;F5;C5;D. scoparium Large;0;0;158;598;D. scoparium;Large;0;0,0047;0,0047;0;0,00035
1;F1;C1;T. squarrosa Large;57;64;168;600;T. squarrosa;Large;0,0013;0,0033;0,0046;32,5;3,00E-04
1;F2;C1;P. capillare Medium;31;30;135;648;P. capillare;Medium;0,0011;0,0041;0,0052;27,5;6,00E-04
1;F3;C1;D. scoparium Large;1;1;130;648;D. scoparium;Large;0;0,004;0,004;0;0
1;F4;C1;P. capillare Medium;11;15;121;632;P. capillare;Medium;7,00E-04;0,0045;0,0052;17,5;6,00E-04
1;F5;C1;P. capillare Large;11;34;142;642;P. capillare;Large;0,0011;0,0028;0,0039;27,5;-5,00E-05
1;F1;C2;D. scoparium Medium;0;0;161;584;D. scoparium;Medium;0;0,0043;0,0043;0;0,00015
1;F2;C2;T. squarrosa Medium;119;81;196;650;T. squarrosa;Medium;8,00E-04;0,0054;0,0062;20;0,0011
1;F3;C2;S. ruralis Medium;10;13;204;618;S. ruralis;Medium;4,00E-04;0,0049;0,0053;10;0,00065
