Sp.;Size;Number;Type;Morfology;Sample;Label_wet;Area_wet;StdDev_wet;X_wet;Y_wet;XM_wet;YM_wet;Perim._wet;BX_wet;BY_wet;Width_wet;Height_wet;Major_wet;Minor_wet;Angle_wet;Circ._wet;AR_wet;Round_wet;Solidity_wet;Feret_wet;FeretAngle_wet;MinFeret_wet;FeretX_wet;FeretY_wet;IntDen_wet;RawIntDen_wet;Median_wet;Skew_wet;Kurt_wet;%Area_wet;Slice_wet;Label_dry;Area_dry;StdDev_dry;X_dry;Y_dry;XM_dry;YM_dry;Perim._dry;BX_dry;BY_dry;Width_dry;Height_dry;Major_dry;Minor_dry;Angle_dry;Circ._dry;AR_dry;Round_dry;Solidity_dry;Feret_dry;FeretAngle_dry;MinFeret_dry;FeretX_dry;FeretY_dry;IntDen_dry;RawIntDen_dry;Median_dry;Skew_dry;Kurt_dry;%Area_dry;Slice_dry;Index of viability;Number shoots;Index1;Index2;Index of contamination
D. scoparium;Large;1;S;햜ice;D. scoparium Large;DIGH (1).jpg;6,00E-02;3,21E+01;2,67E-01;3,30E-01;2,59E-01;3,27E-01;2,63E+00;1,12E-01;1,30E-01;3,42E-01;4,73E-01;3,17E-01;2,41E-01;8,03E+01;1,09E-01;1,31E+00;7,62E-01;5,44E-01;4,77E-01;8,23E+01;3,40E-01;1,43E+02;5,99E+02;5,07E+00;5,01E+06;7,70E+01;1,79E+00;4,52E+00;0,00E+00;1,00E+00;DIGS (1).jpg;4,18E-02;2,99E+01;4,02E-01;3,01E-01;3,94E-01;3,05E-01;2,85E+00;8,82E-02;1,04E-01;4,87E-01;3,17E-01;3,06E-01;1,74E-01;1,74E+02;6,46E-02;1,76E+00;5,67E-01;4,08E-01;4,96E-01;1,08E+01;2,50E-01;8,10E+01;2,87E+02;4,26E+00;3,59E+06;9,90E+01;4,50E-01;-1,49E-01;0,00E+00;1,00E+00;6;1;10,25;10,25;1
D. scoparium;Large;2;S;햜ice;D. scoparium Large;DIGH (2).jpg;4,11E-02;2,26E+01;2,59E-01;1,78E-01;2,64E-01;1,76E-01;1,85E+00;7,83E-02;6,37E-02;4,08E-01;2,53E-01;3,05E-01;1,72E-01;1,48E+02;1,51E-01;1,77E+00;5,64E-01;6,09E-01;4,53E-01;1,53E+02;2,36E-01;7,80E+01;9,50E+01;3,64E+00;3,34E+06;8,40E+01;1,78E+00;7,65E+00;0,00E+00;1,00E+00;DIGS (2).jpg;2,86E-02;3,21E+01;2,06E-01;2,29E-01;2,17E-01;2,33E-01;1,34E+00;2,14E-02;9,43E-02;4,41E-01;2,13E-01;2,74E-01;1,33E-01;1,74E+02;2,00E-01;2,06E+00;4,86E-01;5,02E-01;4,41E-01;1,79E+02;2,10E-01;2,00E+01;2,13E+02;3,01E+00;2,62E+06;1,02E+02;1,34E-01;-5,51E-01;0,00E+00;1,00E+00;6;4;10,25;11,75;1
D. scoparium;Large;3;S;F. Intermedio;D. scoparium Large;DIGH (3).jpg;2,18E-02;4,22E+01;1,86E-01;2,61E-01;1,71E-01;2,64E-01;8,71E-01;4,71E-02;1,08E-01;2,44E-01;2,34E-01;1,81E-01;1,53E-01;9,05E+01;3,60E-01;1,19E+00;8,43E-01;6,29E-01;2,61E-01;1,32E+02;2,08E-01;1,09E+02;1,04E+02;2,16E+00;1,98E+06;9,60E+01;4,91E-01;-3,24E-01;0,00E+00;1,00E+00;DIGS (3).jpg;1,88E-02;2,93E+01;2,31E-01;2,60E-01;2,36E-01;2,58E-01;1,13E+00;1,45E-01;1,73E-01;2,31E-01;2,28E-01;1,65E-01;1,45E-01;1,24E+02;1,84E-01;1,13E+00;8,82E-01;6,13E-01;2,60E-01;1,53E+02;1,88E-01;1,35E+02;1,68E+02;1,83E+00;1,58E+06;1,00E+02;-2,28E-01;-2,12E-01;0,00E+00;1,00E+00;6;2;7,75;9,25;3
D. scoparium;Large;4;S;F. Intermedio;D. scoparium Large;DIGH (4).jpg;8,64E-02;2,67E+01;3,28E-01;3,40E-01;3,03E-01;3,44E-01;1,84E+00;7,30E-02;2,24E-01;5,79E-01;2,63E-01;5,46E-01;2,02E-01;4,09E+00;3,21E-01;2,71E+00;3,69E-01;8,09E-01;5,85E-01;7,70E+00;2,55E-01;6,80E+01;3,81E+02;4,18E+00;3,63E+06;4,40E+01;3,25E+00;1,81E+01;0,00E+00;1,00E+00;DIGS (4).jpg;4,97E-02;3,33E+01;3,24E-01;3,50E-01;3,22E-01;3,40E-01;1,38E+00;1,05E-01;2,02E-01;4,86E-01;2,88E-01;4,95E-01;1,28E-01;1,52E+02;3,28E-01;3,88E+00;2,58E-01;8,37E-01;5,13E-01;1,52E+02;1,68E-01;1,33E+02;2,31E+02;3,28E+00;3,00E+06;6,10E+01;8,24E-01;7,02E-01;0,00E+00;1,00E+00;4;9;5,75;7,25;3
D. scoparium;Large;5;L;F. Intermedio;D. scoparium Large;DIGH (5).jpg;3,01E-03;2,26E+01;1,32E-01;1,65E-01;1,32E-01;1,64E-01;3,58E-01;8,83E-02;1,00E-01;9,82E-02;1,21E-01;1,34E-01;2,86E-02;5,66E+01;2,96E-01;4,70E+00;2,13E-01;6,58E-01;1,42E-01;4,75E+01;4,20E-02;8,30E+01;1,98E+02;3,37E-01;2,84E+05;1,10E+02;5,27E-01;1,16E+00;0,00E+00;1,00E+00;DIGS (5).jpg;2,47E-03;1,56E+01;1,15E-01;1,31E-01;1,17E-01;1,33E-01;2,84E-01;5,71E-02;8,87E-02;1,08E-01;8,36E-02;1,37E-01;2,30E-02;1,43E+02;3,86E-01;5,97E+00;1,68E-01;9,21E-01;1,33E-01;1,45E+02;2,57E-02;5,60E+01;8,80E+01;2,44E-01;2,34E+05;9,70E+01;4,28E-01;6,50E-01;0,00E+00;1,00E+00;6;0;5,25;5,25;3
D. scoparium;Large;6;S;F. Intermedio;D. scoparium Large;DIGH (6).jpg;9,28E-02;4,45E+01;3,47E-01;3,12E-01;3,30E-01;3,00E-01;2,14E+00;4,67E-02;9,13E-02;5,94E-01;3,65E-01;5,20E-01;2,27E-01;1,58E+02;2,54E-01;2,29E+00;4,36E-01;7,74E-01;6,21E-01;1,59E+02;2,64E-01;5,50E+01;2,09E+02;9,21E+00;8,17E+06;9,40E+01;1,17E+00;2,13E+00;0,00E+00;1,00E+00;DIGS (6).jpg;6,88E-02;4,05E+01;3,57E-01;1,71E-01;3,43E-01;1,69E-01;2,05E+00;5,13E-02;5,99E-02;6,08E-01;2,03E-01;4,97E-01;1,76E-01;3,33E+00;2,06E-01;2,82E+00;3,55E-01;7,66E-01;6,11E-01;5,62E+00;2,03E-01;4,80E+01;2,23E+02;8,62E+00;7,55E+06;1,30E+02;-3,74E-01;-5,22E-01;0,00E+00;1,00E+00;1;2;3;3;2
D. scoparium;Large;7;L;F. Intermedio;D. scoparium Large;DIGH (7).jpg;4,51E-03;1,54E+01;1,82E-01;1,92E-01;1,83E-01;1,92E-01;4,27E-01;9,80E-02;1,34E-01;1,60E-01;1,19E-01;1,74E-01;3,30E-02;1,43E+02;3,11E-01;5,27E+00;1,90E-01;7,61E-01;1,83E-01;1,51E+02;4,04E-02;9,00E+01;1,32E+02;4,33E-01;3,65E+05;9,70E+01;1,06E+00;9,50E+00;0,00E+00;1,00E+00;DIGS (7).jpg;3,08E-03;2,54E+01;1,79E-01;1,62E-01;1,80E-01;1,63E-01;3,84E-01;8,70E-02;1,31E-01;1,58E-01;7,11E-02;1,49E-01;2,63E-02;1,64E+02;2,62E-01;5,68E+00;1,76E-01;7,28E-01;1,63E-01;1,66E+02;3,80E-02;8,20E+01;1,31E+02;3,32E-01;2,95E+05;1,03E+02;3,99E-01;-5,04E-01;0,00E+00;1,00E+00;6;0;5,75;7,25;1
D. scoparium;Large;8;S;F. Intermedio;D. scoparium Large;DIGH (8).jpg;2,48E-02;2,85E+01;2,75E-01;2,64E-01;2,76E-01;2,58E-01;1,25E+00;1,30E-01;5,63E-02;2,71E-01;2,97E-01;1,95E-01;1,62E-01;1,60E+02;1,98E-01;1,21E+00;8,29E-01;5,22E-01;3,16E-01;5,31E+01;2,42E-01;1,28E+02;2,91E+02;1,63E+00;1,44E+06;6,10E+01;4,13E+00;2,23E+01;0,00E+00;1,00E+00;DIGS (8).jpg;2,07E-02;3,36E+01;2,62E-01;2,21E-01;2,60E-01;2,19E-01;1,09E+00;1,20E-01;1,42E-01;3,13E-01;1,78E-01;2,02E-01;1,31E-01;1,63E+02;2,18E-01;1,55E+00;6,46E-01;5,74E-01;3,13E-01;1,80E+02;1,73E-01;1,13E+02;1,63E+02;1,80E+00;1,60E+06;8,30E+01;4,11E-01;-2,61E-01;0,00E+00;1,00E+00;6;2;7,75;9,25;3
D. scoparium;Large;9;S;햜ice;D. scoparium Large;DIGH (9).jpg;5,55E-02;4,31E+01;2,98E-01;2,34E-01;2,72E-01;2,29E-01;2,55E+00;9,75E-02;1,16E-01;4,80E-01;3,70E-01;3,58E-01;1,98E-01;9,40E+00;1,07E-01;1,81E+00;5,52E-01;5,23E-01;5,30E-01;2,54E+01;3,26E-01;9,30E+01;4,56E+02;5,11E+00;4,55E+06;8,30E+01;1,23E+00;1,53E+00;0,00E+00;1,00E+00;DIGS (9).jpg;4,68E-02;4,01E+01;3,04E-01;1,99E-01;2,81E-01;2,01E-01;2,99E+00;9,94E-02;8,47E-02;4,70E-01;3,93E-01;3,21E-01;1,85E-01;9,82E+00;6,58E-02;1,73E+00;5,77E-01;4,56E-01;4,70E-01;2,55E-01;3,10E-01;9,50E+01;2,07E+02;4,28E+00;3,92E+06;8,90E+01;1,97E-01;-6,60E-01;0,00E+00;1,00E+00;6;7;10,25;10,25;1
D. scoparium;Large;10;L;F. Intermedio;D. scoparium Large;DIGH (10).jpg;7,74E-03;2,01E+01;1,58E-01;1,87E-01;1,62E-01;1,92E-01;5,06E-01;7,94E-02;1,02E-01;1,65E-01;1,73E-01;2,36E-01;4,17E-02;1,33E+02;3,80E-01;5,66E+00;1,77E-01;8,30E-01;2,29E-01;1,34E+02;4,73E-02;8,10E+01;9,90E+01;8,25E-01;7,76E+05;1,07E+02;5,54E-01;4,76E+00;0,00E+00;1,00E+00;DIGS (10).jpg;6,14E-03;2,36E+01;2,87E-01;2,22E-01;2,88E-01;2,20E-01;5,30E-01;1,46E-01;1,95E-01;2,41E-01;5,23E-02;2,20E-01;3,56E-02;6,69E+00;2,75E-01;6,18E+00;1,62E-01;7,90E-01;2,42E-01;8,93E+00;4,69E-02;1,40E+02;2,22E+02;7,42E-01;6,79E+05;1,19E+02;1,71E-01;-5,04E-01;0,00E+00;1,00E+00;6;0;5,5;7;2
